"id","name","code","executive","employee","worker"
occupation_type_employee_136004,DIRECTOR DE ESCUELA PROFESIONAL,136004,True,True,False,
occupation_type_employee_136005,"DIRECTOR DE ESEP/SENATI, ETC.",136005,True,True,False,
occupation_type_employee_136007,DIRECTOR DE INSTITUTO ACADEMICO,136007,True,True,False,
occupation_type_employee_136008,DIRECTOR DE NUCLEOS EDUCATIVOS COMUNALES,136008,True,True,False,
occupation_type_employee_136010,DIRECTOR DEPARTAMENTAL DE EDUCACION,136010,True,True,False,
occupation_type_employee_136012,RECTOR,136012,True,True,False,
occupation_type_employee_136013,VICE-RECTOR,136013,True,True,False,
occupation_type_employee_137005,GERENTE DE ADMINISTRACION,137005,True,True,False,
occupation_type_employee_137006,GERENTE DE CREDITOS,137006,True,True,False,
occupation_type_employee_139010,GERENTE DE COMERCIALIZACION,139010,True,True,False,
occupation_type_employee_139011,GERENTE DE VENTAS,139011,True,True,False,
occupation_type_employee_141001,"GERENTE, AGRICULTURA",141001,True,True,False,
occupation_type_employee_141002,"GERENTE, CAZA",141002,True,True,False,
occupation_type_employee_141003,"GERENTE, EXPLOTACION: AGRICOLA, FORESTAL Y PECUARIA",141003,True,True,False,
occupation_type_employee_141004,"GERENTE, PESCA",141004,True,True,False,
occupation_type_employee_141005,"GERENTE, SILVICULTURA",141005,True,True,False,
occupation_type_employee_142001,"GERENTE, EXPLOTACION DE MINAS Y CANTERAS",142001,True,True,False,
occupation_type_employee_142002,"GERENTE, INDUSTRIA MANUFACTURERA",142002,True,True,False,
occupation_type_employee_142003,"GERENTE, SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",142003,True,True,False,
occupation_type_employee_143001,"GERENTE, CONSTRUCCION",143001,True,True,False,
occupation_type_employee_144003,"GERENTE, COMERCIO MAYORISTA",144003,True,True,False,
occupation_type_employee_144004,"GERENTE, COMERCIO MAYORISTA/ EXPORTACION",144004,True,True,False,
occupation_type_employee_144005,"GERENTE, COMERCIO MAYORISTA/ IMPORTACION",144005,True,True,False,
occupation_type_employee_144006,"GERENTE, COMERCIO MINORISTA",144006,True,True,False,
occupation_type_employee_144007,"GERENTE, COMERCIO MINORISTA/ CADENA DE ALMACENES",144007,True,True,False,
